shortcode,caption,alt_text,ocr_text,age_days,likes,comments,collected_at
DG76St4MlwS,"🏃🏽‍♀️🏃🏼‍♀️Avui no correm, avui volem! 💜✨

Perquè córrer és llibertat, però volar és saber que som imparables. 
Corrent juntes te’n adones que cada una de nosaltres té la seva pròpia història: la que es posa les vambes de córrer per primer cop, la que es marca un repte i el supera, i la que no el supera, la que es lleva de matinada per sortir, la que ho fa a última hora del vespre tot i el cansament, la que compagina família i feina i tot i així troba una estoneta, per les vegades que correm amb son, amb presses o buscant un moment, i per mil coses més, i tot i així, disfrutem d’aquest camí! 

No correm només per arribar més lluny. Correm per deixar petjada. 
Correm per totes, i juntes fem camí! I avui, volem alt. 🚀💜

Feliç dia de la Dona 🚺",,,94,89,4,2025-06-10T15:59:03.204593+00:00
DGvLY3sMpwn,"LAST CALL!! 📢

Diumenge 9 de març i coincidint amb em cap de setmana del Dia de la Dona, farem el segon Dash and Stars run, aquest cop per Girona 🏃🏽‍♀️.

Escalfament previ a @personaltraininglounge , run d’ 11 o 15km, tu tries! I tornarem per esmorzar totes juntes!

T’apuntes?? Tens el link a la bio! ✍🏼",,,99,77,2,2025-06-10T15:59:07.602665+00:00
DGlc_MFsppr,"I tu, prefereixes correr sola o amb companyia? 

#sisterhood #sisterhoodrunningclub #comunidad #community #running #runningcommunity #girlsrunning",,,102,80,1,2025-06-10T15:59:14.672814+00:00
DGlcs_FMqiN,,,,102,19,0,2025-06-10T15:59:15.674467+00:00
DGNqB9BsXdf,Brunch time: the real post run recovery! 🥑🧢,,,112,126,0,2025-06-10T15:59:17.225880+00:00
DGLmcY5s_oN,"Run, laugh, repeat! 
🏃🏽‍♀️😝💜

📸 @70pts",,,112,88,0,2025-06-10T15:59:18.378011+00:00
DF-w13WsWgP,"Dash and Stars Run 💜

Diumenge vam viure un mati top a Banyoles amb el nostre primer Dash and Stars Run! 🏃🏽‍♀️💥
Vam córrer la volta a l’Estany (algunes dues!), vam gaudir del solet i vam fer un súper brunch! ☀️🥑🏔️

@70pts 📸",,,117,156,7,2025-06-10T15:59:22.151876+00:00
DF5ptmdMMgF,"Dash and Stars Run! 💜

Quin matí més top vam passar ahir a Banyoles 🏃🏽‍♀️💥!
Vam fer la volta a l’Estany (o algunes dues!!), vam gaudir d’un paisatge espectacular ⛰️, d’un solet brutal ☀️, i d’una companyia immillorable 🥳! I vam acabar gaudint d’un súper brunch a l’ @aquariumbanyoles 🥑🥞! 

Spoiler alert 🚨serem unes pesades amb les fotos taaant brutals que ens va fer @70pts 

#dashandstars #sisterhood #sisterhoodrunningclub #dashandstarsrun",,,119,112,6,2025-06-10T15:59:24.768573+00:00
DFvQKYksIe_,,,,123,16,0,2025-06-10T15:59:27.885501+00:00
DFsLvO0M5ZS,"Running is more than a sport
- it’s a mindset!",,,125,71,0,2025-06-10T15:59:29.217268+00:00
DFqMHNJsruy,Sisterhood in motion!,,,125,36,1,2025-06-10T15:59:35.851740+00:00
DFnkrurMwAC,Running is better with sisters by your side.,,,126,33,0,2025-06-10T15:59:36.989127+00:00
DFhWOZXMYuw,Sunday long runs are better with Sisterhood.,,,129,57,0,2025-06-10T15:59:38.096522+00:00
DFcwrSmsMx4,Quan t’agrada més entrenar?,,,131,23,0,2025-06-10T15:59:39.742601+00:00
DE__4NXs_cs,"Winter miles bring summer miles.
Keep running, no matter the season!",,,142,50,0,2025-06-10T15:59:40.293611+00:00
DE9hWyeseCw,Running isn’t just a solo mission,,,143,35,0,2025-06-10T15:59:43.090976+00:00
DE7OhMDsJED,"If we are not running, we are cheering ✌🏼
Or both!",,,144,39,0,2025-06-10T15:59:44.832222+00:00
DEM4gCOMliP,"ATHLETIKS NIGHT OUT 💥

@athletiks.io",,,162,120,5,2025-06-10T15:59:46.382883+00:00
DDwm-EpsmjH,,,,173,41,0,2025-06-10T15:59:51.871634+00:00
DDwietuML-R,Missing the summer runs,,,173,50,0,2025-06-10T15:59:55.650665+00:00
